OD站点名称,共用线路的名称
一期公寓(临时站),2
丁各庄,12
丁家滩,6
丁家滩北口,3
七北南路西口,2
七圣南路,2
七圣路北口,2
七圣路南口,2
七孔桥,7
七星东街,2
七星园,4
七星路,4
七星路南口,8
七棵树桥东,4
七级村,4
七贤村路口北,4
七贤村路口南,4
七里庄,29
七里庄路,2
七里店,2
七里店村,2
七里渠,8
七里渠东,4
七里渠北村,2
七里渠南口,2
七里渠南村东,2
七里渠西桥,6
七零一厂,4
万丰路南口,7
万乐小区东门,2
万华城,2
万子营,2
万子营路南口,2
万宁桥,12
万安,2
万寿寺,24
万寿庄,2
万寿庄西,2
万寿路口东,5
万寿路口北,8
万寿路口南,7
万寿路口西,16
万怡小区,2
万明路,3
万柳东路,2
万柳东路南口,2
万柳中路,6
万柳中路北口,9
万柳中路南口,8
万泉庄,17
万泉庄路,2
万泉河桥东,8
万泉河桥南,15
万泉河路,5
万源南路东口,2
万源街东站,10
万源街西口,16
万源路,16
万盛中一街,3
万盛中二街,2
万盛北街,8
万盛北街东口,2
万盛北里,2
万盛南街,8
万盛南街南口,6
万科城市花园,2
万窑村,2
万红西街,4
万红路东口,2
万芳园一区,7
万芳园二区,6
万芳桥东,8
万芳桥北,6
万芳桥南,6
万象新天一区,4
万象新天三区,4
万象汇橡树湾小区,2
丈头村,2
丈头村东,2
三一六医院,4
三中巷,4
三义庙,20
三元庵,4
三元村,20
三元村南,4
三元桥,23
三元桥东站,13
三元桥南,16
三元桥西站,14
三十亩地村,2
三台山北,2
三台山南,2
三号桥,7
三合南里,4
三合庄,4
三合庄园,13
三垡北口,4
三垡南口,4
三塔寺,12
三孔桥,2
三家店,12
三家店东口,12
三家店中街,2
三家店后街,2
三家店火车站,2
三家店西口,14
三山家园,4
三岔河,6
三岔河北站,8
三岔河南站,8
三星庄,2
三星庄南口,6
三桥子路口,2
三槐堂,6
三河一中,2
三河农机驾校,2
三河国土资源局,2
三河地税局,2
三河市政府,2
三河总站,2
三河李家务,6
三环英和医院,2
三福村,2
三福村路口,2
三羊里,5
三营门,16
三营门东,4
三营门南,2
三街坊,4
三路居,19
三路居公交场站,2
三路居站,2
三里墩,2
三里屯,18
三里河东口,11
三里河东路南口,14
三间房东路北口,2
三间房村,10
三间房村委会,2
三黄庄村路口,2
上上城二期,4
上上城五期,6
上上城四期,4
上东廓,2
上东廓桥东,2
上东廓桥西,2
上口村,2
上园路南口,2
上地七街,22
上地七街路口东,3
上地七街路口西,2
上地三街东口,23
上地三街西口,14
上地九街西口,6
上地五街,22
上地五街东口,3
上地佳园,4
上地六街东口,4
上地南口,22
上地南路,9
上地四街东口,3
上地桥东,26
上地桥西,6
上地西里,15
上坡佳园西门,12
上坡村,2
上坡路口西,4
上岸,2
上岸东站,2
上庄东小营,6
上庄东小营东口,2
上庄东小营北口,4
上庄东小营村,2
上庄南口,6
上庄卫生院,6
上庄水库,6
上庄水库南站,6
上庄永泰庄,2
上庄路口东,8
上庄路口北,6
上庄镇,6
上庄镇南站,6
上庄馨悦家园,2
上店村北口,6
上店村路口,14
上念头村,4
上林苑小区,2
上清桥南,6
上清水,2
上苑,2
上辇,2
上辛堡,2
上马头,2
下元,5
下口村,2
下坡店,4
下坡店北,2
下庄,4
下庄村,2
下念头村,2
下清水,2
下纸寨,2
下花园,2
下苇甸,2
下苇甸村,2
下苇甸桥,4
下西市南,4
下辛堡,2
下辛堡东,2
下马岭,2
下黎城村,2
世华水岸小区,2
世华泊郡小区,2
世安家园,8
世涛天朗小区南门,6
世界公园,12
世界地热博览园,6
世界花卉大观园,4
世纪东方嘉园,3
世纪名苑,6
世纪村,12
东三旗,22
东上园,8
东下营村,2
东二旗村,6
东二旗村西站,4
东二道河,2
东亚上北小区,6
东亚家园,4
东仙坡南,2
东侧路,18
东便门,13
东八里庄,28
东八间房,10
东关南里小区南门,8
东关大桥,21
东关大桥南,2
东关大桥站,3
东内小街,14
东冉村,23
东刘庄村,2
东刘村,2
东北旺,10
东北旺中路,8
东北旺中路南口,4
东北旺北,16
东北旺西,5
东北旺西路北口,10
东十里堡村,15
东十里堡路,2
东升园,10
东半壁店村,2
东单路口东,10
东单路口北,18
东单路口南,5
东单路口西,2
东南章,2
东周各庄,2
东四九条,6
东四六条,6
东四十二条,10
东四十条,16
东四十条桥东,18
东四十条桥南,6
东四十条桥西,17
东四块玉,3
东四路口东,10
东四路口南,12
东园村,2
东土城路,6
东土城路南口,4
东坝,10
东坝中路,12
东坝南,2
东坝家园东站,12
东坝家园西站,12
东坝西北门,2
东坟公交场站,4
东坟村西口,2
东城三里河,9
东埠头路西口,4
东堡村,2
东夏园路口东,8
东夏园路口北,8
东夏园路口南,5
东大桥,3
东大桥东站,9
东大桥公交场站,14
东大桥路口东,16
东大桥路口北,16
东大桥路口南,4
东大桥路口西,7
东大街,10
东大街北口,8
东大街南口,10
东安街头条,3
东安门,6
东安门大街,4
东官房,20
东定安村,2
东寺庄村,10
东寺渠,2
东小井,6
东小口,25
东小口村东,2
东小口村委会,2
东小口路口西,2
东小营,4
东小营公交场站,8
东小马,2
东局,11
东局南,12
东岗子,10
东庄,2
东庄子,4
东庄子南(临时站),2
东庄子村南,6
东店,2
东总屯,2
东惠家园,2
东惠家园东,4
东惠家园南,2
东方夏威夷小区东门,2
东方夏威夷小区西,4
东方夏威夷小区西门,2
东方大讲堂(临时站),3
东方太阳城,2
东方太阳城西门,2
东方时尚驾校东门,2
东方时尚驾校东门(临时站),2
东旭新村,2
