线路名称,接驳站点数量,非接驳站点数量
通86路(地铁通州北苑站--怀柔火车站),43,0
通86路(怀柔火车站--通州北苑路口东),45,1
通21路(地铁九棵树站--曹庄村),35,1
42路(东四十条桥--广外甘石桥),27,1
专4路(樊家村公交场站--夏家胡同),6,1
311路(来广营西桥东--大运村公交场站),24,0
专81路(东小口村委会--世华泊郡小区),17,2
307路(巴沟村--龙域北街东口),33,0
通14路(黄厂铺村--通州北关),47,1
通73路(西马各庄村--地铁九棵树站),28,1
通73路(地铁九棵树站--西马各庄村),28,2
996路(地铁龙泽站--平西王府公交场站),22,0
993路(窦店公交场站--地铁西红门站),41,3
通19路(师姑庄村--大方居),41,0
935路-935路慢车(顺义半壁店--东直门外),24,0
通48路(兴惠艺术园区--地铁东夏园站),16,0
通49路(六合新村--运河明珠家园),17,1
通50路(张家湾凉水河桥北--地铁梨园站),10,0
通49路(运河明珠家园--六合新村),18,0
通18路(地铁万盛东站--平家疃路口),44,1
通18路(平家疃路口--曹园逸家小区),45,1
957路(北京站东街--大兴一职),49,1
957路(大兴一职--北京站东街),50,1
919路快车(京张路口北--德胜门),17,1
通28路(后堰上村--周营村南口),40,1
558路(霍营公交场站--溪城家园),25,0
558路(溪城家园--霍营公交场站),24,0
484路(北苑家园--北医三院),20,0
457路(劲松--豆各庄公交场站),22,1
894路(夏威夷蓝湾小区--地铁潞城站),18,0
894路(地铁潞城站--夏威夷蓝湾小区),17,0
夜5路(北京站东--城通街),42,1
969路(地铁西局站--海子角),42,2
969路(海子角--地铁西局站),41,3
968路(海子角--莲花池南路),23,0
968路(莲花池南路--海子角),25,0
通60路(城铁北苑站--梨园北街),22,0
通58路(环湖小区--东夏园路口南),10,0
通58路(东夏园路口南--环湖小区),10,0
通53路(地铁梨园站--苍头村),18,0
319路(大运村公交场站--南七家),35,1
专193路(良庄家园--小辛庄村),10,0
专193路(小辛庄村--良庄家园),10,0
833路(河北镇辛庄--送变电公司路口西),43,1
816路(郎家园--大厂),43,1
817路(大厂--郎家园),33,0
830路(菜户营桥西--怪村公交场站),36,1
82路(国家体育场东--前门),26,0
82路(前门--国家体育场东),26,0
938路(安平香汐花园--通州西站),48,1
938路(通州西站--安平香汐花园),47,1
896路(梨村公交场站--七里庄),37,0
646路(城南嘉园北--阎村桥公交场站),43,0
通90路(凤河营--城铁北苑站),29,5
809路(大北窑南--佰富苑),26,0
539路(颐和园西门--万柳中路北口),13,1
539路(万柳中路北口--颐和园西门),14,1
43路(五间楼--团结湖),23,0
通37路(王辛庄村--地铁通州北关站),21,1
通63路(古庄--隆盛工业园),13,0
通63路(隆盛工业园--古庄),12,1
341路(青云店公交场站--德茂桥东),19,0
专66路高峰(巩华新村--地铁巩华城站),7,3
通1路(岗山路口--通州北苑路口西),28,3
专188路(开发区交通服务中心--科谷二街),11,1
985路(牌坊村东口--甜水园西里),30,1
通19路(大方居--师姑庄村),41,1
314路(昌平东关--长陵),18,0
通23路(永乐店--紫峰九院城),14,1
919路(体育场小区--德胜门),27,2
695路(动物园枢纽站--时代庄园北站),36,0
夜15路(北京南站南广场--北京西站南广场),14,0
通40路(漷城西四路--地铁九棵树站),37,2
337路(公主坟西--石景山),22,0
938路快车(香河总站--大北窑南),15,2
939路(三元桥东站--沙子营公交场站),25,0
专200路(孙河公交场站--孙河公交场站),3,11
通9路(永乐店镇--城铁九棵树站),56,3
537路(兴寿北站--天通苑北枢纽站),14,1
537路(天通苑北枢纽站--兴寿北站),13,2
通10路(城铁北苑站--后伏村),40,3
951路(坨里--地铁八宝山站),60,1
通23路(紫峰九院城--永乐店),14,1
专150路(地铁八宝山站--融景城公交场站),8,0
专146路(槐树岭公交场站--槐树岭公交场站),5,5
专150路(融景城公交场站--地铁八宝山站),11,0
74路(菜户营西路--颐和园新建宫门),28,0
615路(刘庄北站--神路街),37,0
615路(神路街--刘庄北站),38,1
614路(单村--万柳中路北口),38,0
专90路(西店--鹿海园公交场站),12,3
582路(怡乐南街公交场站--地铁通州北关站),25,0
987路(地铁望京西站--云佛山滑雪场),48,0
915路(东直门外--南彩汽车站),46,1
915路(南彩汽车站--东直门外),47,1
通72路(坨堤村--地铁九棵树站),23,2
通69路(杨秀店--同济南路北站),20,1
通66路(万源街西口--神驹村),31,0
575路(西辛力屯--地铁安河桥北站),30,0
618路(月坛体育场--龙锦苑东五区南门),44,0
专3路(丰北桥东--莲花桥),9,0
通71路(曹园逸家小区--紫运园小区),30,0
379路(左家庄--育新小区),34,0
571路(朝新嘉园--地铁望京西站),31,0
通68路(日光清城--温馨家园),38,0
通1路(通州北苑路口西--岗山路口),28,4
通13路(尹家河村--城铁九棵树站),44,1
专186路(鹿海园三里--瀛吉街),12,0
928路(来广营北--成府路口南),24,1
通11路(城铁北苑站--董村),40,4
专153路(永定门外--永定门外),10,4
818路(郎家园--天洋城总站),15,1
341路(德茂桥东--青云店公交场站),18,1
通70路-通勤(微)70路(疃里一区南门--地铁通州北关站),19,0
941路(石龙西公交场站--莲花池南路),55,2
941路(莲花池南路--石龙西公交场站),57,2
948路(地铁苹果园站--大安山矿),42,2
948路(大安山矿--地铁苹果园站),41,2
978路(丰台河西村--云岗),17,3
379路(育新小区--左家庄),35,0
880路快(地铁回龙观站--沙城客运站),2,0
专179路(草桥东路北口--青秀城东区),7,1
专179路(青秀城东区--草桥东路北口),6,0
523路(科创十六街--地铁荣京东街站),18,0
523路(地铁荣京东街站--科创十六街),19,1
813路(邓家窑桥北--上上城五期),23,0
926路(采育公交场站--地铁旧宫站),42,2
813路(上上城五期--邓家窑桥北),23,0
466路(地铁北苑站--中关村南),24,2
919路快车(德胜门--京张路口北),16,1
926路(地铁旧宫站--采育公交场站),42,2
928路(成府路口南--来广营北),24,0
927路(南刘庄--旧宫北路东口),46,0
927路(亦庄桥北--南刘庄),46,0
通53路(苍头村--地铁梨园站),18,0
664路(地铁苹果园公交场站--厢白旗桥),30,0
通39路(于辛庄村--大沙务村),7,1
通39路(大沙务村--于辛庄村),8,0
通42路(兴隆庄村--小屯村),24,1
851路(东窑村--地铁望京西站),36,0
855路(马坡花园--地铁望京站),47,6
857路(沙子营公交场站--蟹岛度假村东门),20,2
19路(动物园枢纽站--翠林小区),22,1
通42路(小屯村--兴隆庄村),24,2
专107路(北苑家园--溪城家园),9,0
667路(大北窑东--刘庄北站),16,0
通69路(同济南路北站--杨秀店),20,1
848路(大北窑南--海子角),28,0
846路(杨秀店公交场站--大北窑南),33,1
848路(海子角--大北窑南),29,0
专199路(地铁首经贸站--地铁首经贸站),3,2
824路(地铁草房站东--佰富苑),17,0
824路(佰富苑--地铁草房站),19,1
826路(地铁荣昌东街站--采四小区),24,9
826路(采四小区--地铁荣昌东街站),23,2
827路(刘家窑桥西--大兴西庄),49,1
3路(东直门枢纽站--金家村桥东),34,0
通8路(北京物资学院--关辛庄村),32,1
868路(云佛山滑雪场--于家园),48,0
专86路(京原路口东--融景城公交场站),10,0
通62路(新城乐居--陈列馆路),27,0
通44路(疃里二区--通州区中医医院),25,0
110路(天桥--地铁柳芳站),29,1
902路(苏家坨公交场站--地铁西二旗站南),22,1
通87路(城铁北苑站--大兴桥北),28,3
专187路(地铁荣昌东街站--开发区交通服务中心),18,22
通31路(隆盛产业园--前银子村),19,1
通6路(潞阳桥西路--北京物资学院),27,0
通4路(高楼金村--怡乐中街),31,0
通3路(通州北苑路口西--平家疃村),30,0
45路(阜成门内--三路居公交场站),23,1
通41路(大灰店村--陈桁村),73,1
327路(城通街--槐树岭公交场站),22,0
通56路(地铁经海路站--东惠家园东),16,1
通38路(通州小街桥东--协各庄村),23,2
327路(槐树岭公交场站--城通街),23,1
329路(晓月苑公交场站--李家峪北),27,0
通2路(地铁通州北苑站--港北村),31,0
329路(李家峪北--晓月苑公交场站),26,0
通66路(神驹村--万源街西口),31,0
589路(环球度假区--疃里公交场站),24,3
589路(疃里公交场站--环球度假区),25,1
夜26路(天通北苑--和平东桥),34,0
978路(云岗--丰台河西村),17,3
394路(韩家川--北京西站),22,2
专36路(地铁传媒大学站南--地铁传媒大学站南),1,11
919路(德胜门--体育场小区),26,6
通67路(漷城西四路--地铁同济南路站),46,0
934路(窦店公交场站--海子角),50,3
934路(海子角--窦店公交场站),51,3
818路(天洋城总站--大北窑南),15,1
460路(小辛庄村--小辛庄村),24,7
459路(丽泽桥--南宫迎宾路),35,0
458路(南宫迎宾路南站--北京南站),46,0
459路(南宫迎宾路--丽泽桥),35,0
通8路(关辛庄村--北京物资学院),31,1
961路(大瓦窑公交场站--西老店公交场站),43,0
667路(刘庄北站--大北窑东),17,0
805路快(小甸屯南--大北窑南),10,0
805路快(庆丰公园--廊坊),20,0
917路快车(欧美亚汽车城--北京西站南广场),60,3
917路快车(北京西站南广场--欧美亚汽车城),60,3
369路(地铁新宫站--黄村火车站),30,0
专121路(二拨子新村--地铁回龙观站),12,0
通43路(地铁通州北苑站--临沟屯村),44,0
575路(地铁安河桥北站--西辛力屯),30,0
专173路(京东运乔建材城--日新路南口),16,1
专173路(日新路南口--京东运乔建材城),15,1
566路(胡家垡--万盛南街),16,3
通67路(同济南路地铁站--漷城西四路),45,0
通51路(地铁通州北苑站--西马庄小学),5,2
专182路(润枫领尚小区--科创十四街西站),24,1
专207路(地铁嘉会湖站--次渠),11,2
专207路(次渠--地铁嘉会湖站),11,2
576路(宋家庄枢纽站--南小街西里),19,0
579路(杏坛路南口--西苑),20,1
专61路(拾景北路--石景山),11,0
专61路(石景山--拾景北路),10,1
617路(来广营北--地铁生命科学园站西),36,0
644路(中央党校北门--大瓦窑公交场站),45,0
644路(大瓦窑公交场站--中央党校北门),40,0
685路(博兴一路北口--樊家村公交场站),45,0
685路(樊家村公交场站--博兴一路北口),45,0
通22路(通州北苑路口南--鲁城村西口),49,2
通45路(东堡村--运河中学高中部),27,1
通2路(港北村--地铁通州北苑站),33,1
971路(六里桥东站--首发物流),18,0
971路(首发物流--六里桥东站),17,0
56路(动物园枢纽站--大观园公交场站),21,0
通44路(通州区中医医院--疃里二区),22,0
988路(马泉营--四惠枢纽站),29,0
985路(甜水园西里--牌坊村东口),30,2
通6路(北京物资学院--潞阳桥西路),28,0
通7路(周坡庄村委会--疃里),36,1
通7路(疃里--周坡庄村委会),36,1
通5路(姚辛庄村--地铁九棵树站),27,0
通9路(城铁九棵树站--永乐店镇),55,1
372路(日新路南口--怡乐南街公交场站),28,0
372路(怡乐南街公交场站--日新路南口),27,1
466路(中关村南--地铁北苑站),26,0
827路(大兴西庄--刘家窑桥西),49,1
通31路(前银子村--隆盛工业园),19,3
通10路(后伏村--地铁通州北苑站),42,0
987路(云佛山滑雪场--地铁望京西站),48,0
