线路名称,换乘枢纽站点,接驳数量
通86路(地铁通州北苑站--怀柔火车站),地铁通州北苑站,21
通86路(地铁通州北苑站--怀柔火车站),通州北苑路口东,17
通86路(地铁通州北苑站--怀柔火车站),通州西门路口北,21
通86路(地铁通州北苑站--怀柔火车站),通惠北路南口,19
通86路(地铁通州北苑站--怀柔火车站),通惠北路北口,15
通86路(地铁通州北苑站--怀柔火车站),财贸学院,15
通86路(地铁通州北苑站--怀柔火车站),北京胸科医院,26
通86路(地铁通州北苑站--怀柔火车站),富河园小区,8
通86路(地铁通州北苑站--怀柔火车站),西潞苑小区,9
通86路(地铁通州北苑站--怀柔火车站),富豪南口,4
通86路(地铁通州北苑站--怀柔火车站),通州富豪村,9
通86路(地铁通州北苑站--怀柔火车站),徐辛庄,5
通86路(地铁通州北苑站--怀柔火车站),张辛,3
通86路(地铁通州北苑站--怀柔火车站),李桥,6
通86路(地铁通州北苑站--怀柔火车站),后桥,7
通86路(地铁通州北苑站--怀柔火车站),山子坟,3
通86路(地铁通州北苑站--怀柔火车站),林河西站,6
通86路(地铁通州北苑站--怀柔火车站),林河开发区,3
通86路(地铁通州北苑站--怀柔火车站),仓上小区,7
通86路(地铁通州北苑站--怀柔火车站),东风小学,5
通86路(地铁通州北苑站--怀柔火车站),顺义区医院,11
通86路(地铁通州北苑站--怀柔火车站),便民街东口,11
通86路(地铁通州北苑站--怀柔火车站),双兴小区,7
通86路(地铁通州北苑站--怀柔火车站),牛栏山一中实验学校,3
通86路(地铁通州北苑站--怀柔火车站),龙苑别墅,3
通86路(地铁通州北苑站--怀柔火车站),富各庄,5
通86路(地铁通州北苑站--怀柔火车站),赵各庄,5
通86路(地铁通州北苑站--怀柔火车站),怀柔桥北,9
通86路(地铁通州北苑站--怀柔火车站),庙城东,11
通86路(地铁通州北苑站--怀柔火车站),南华,7
通86路(地铁通州北苑站--怀柔火车站),南华大街东口,3
通86路(怀柔火车站--通州北苑路口东),于家园,3
通86路(怀柔火车站--通州北苑路口东),下元,4
通86路(怀柔火车站--通州北苑路口东),怀柔汽车站,4
通86路(怀柔火车站--通州北苑路口东),南华大街东口,3
通86路(怀柔火车站--通州北苑路口东),南华,7
通86路(怀柔火车站--通州北苑路口东),庙城东,11
通86路(怀柔火车站--通州北苑路口东),怀柔桥北,9
通86路(怀柔火车站--通州北苑路口东),赵各庄,5
通86路(怀柔火车站--通州北苑路口东),富各庄,5
通86路(怀柔火车站--通州北苑路口东),龙苑别墅,3
通86路(怀柔火车站--通州北苑路口东),牛栏山一中实验学校,3
通86路(怀柔火车站--通州北苑路口东),双兴小区,6
通86路(怀柔火车站--通州北苑路口东),便民街东口,11
通86路(怀柔火车站--通州北苑路口东),顺义区医院,11
通86路(怀柔火车站--通州北苑路口东),东风小学,5
通86路(怀柔火车站--通州北苑路口东),仓上小区,7
通86路(怀柔火车站--通州北苑路口东),石园南大街,3
通86路(怀柔火车站--通州北苑路口东),林河开发区,3
通86路(怀柔火车站--通州北苑路口东),山子坟,3
通86路(怀柔火车站--通州北苑路口东),后桥,7
通86路(怀柔火车站--通州北苑路口东),李桥,5
通86路(怀柔火车站--通州北苑路口东),张辛,3
通86路(怀柔火车站--通州北苑路口东),徐辛庄,3
通86路(怀柔火车站--通州北苑路口东),通州富豪村,9
通86路(怀柔火车站--通州北苑路口东),富豪南口站,5
通86路(怀柔火车站--通州北苑路口东),西潞苑小区,9
通86路(怀柔火车站--通州北苑路口东),富河园,8
