餐厅id,城市,客单价,推单数,接单数,整体时长,到店时长,取餐时长,用户投诉数,差评数,好评数
111,上海,12,450,450,10,5,5,4,2,4
112,上海,33,300,300,11,5,6,5,2,33
113,上海,32,223,200,8,2,6,3,2,3
114,上海,15,224,53,5,3,4,4,0,4
115,上海,43,33,33,6,3,4,2,3,2
116,上海,44,44,44,,3,4,1,1,4
222,北京,54,66,66,4,4,,3,13,13
223,北京,23,75,4,4,2,2,1,1,1
224,北京,44,55,67,5,2,3,1,1,22
225,北京,23,422,55,6,4,2,3,1,0
226,北京,5,66,66,7,3,5,4,33,3
227,北京,32,45,45,6,3,3,0,2,44
228,北京,5,323,323,11,5,6,0,2,455
311,南京,6,4,4,6,2,4,3,2,245
312,南京,23,5,5,7,3,4,3,1,11
313,南京,54,44,44,6,4,2,3,1,23
314,南京,45,32,32,7,1,6,3,4,55
315,南京,21,23,23,2,1,1,3,7,44
316,南京,34,55,55,4,2,2,4,2,4
317,南京,55,44,44,8,4,4,2,5,7
